,user_id,username,following,followers
483,483,_marieclaude,346,963
484,484,Nicolebross,153,85
485,485,zlackie,223,69
486,486,KeTsuBaN000,1081,256
487,487,killmonger75,228,226
488,488,CarrotTheo1,68,1
489,489,Berserker956,196,231
490,490,ZabouVillon,1052,1842
491,491,SylvieDarraux,384,242
492,492,Isabelles_s2,658,636
493,493,NxNvMe_,432,1540
494,494,wisleydu22,346,159
495,495,Mathnch,696,1551
496,496,Brian94230,158,475
497,497,Barto_corazon,149,28
498,498,Agnesleglise,2202,8655
499,499,anthonymassc,266,436
500,500,Bouaihh,358,327
501,501,belnonm,239,457
502,502,testondeguepe,58,19
503,503,maikaaaaaaam,297,967
504,504,JourdanLise,135,71
505,505,thibaut_tiennot,174,124
506,506,DanieleDoucet,521,188
507,507,Deuzelle,1050,510
508,508,nes_sim,1090,1994
509,509,stephaneringen,125,65
510,510,Hichiriki59,505,56
511,511,AmadouO97581387,12,0
512,512,MianSalomon,3187,207
513,513,maghrebiiiia,543,390
514,514,lejessax,222,10920
515,515,g_louisar,259,271
516,516,JulienSatch,2391,2743
517,517,PatrickPetitpr1,499,288
518,518,caribbeanjah,654,827
519,519,v2vad,153,218
520,520,sumac_h,2496,6544
521,521,Kouyate40947676,711,25
522,522,EMY77460586,1290,1152
523,523,OOuuur,871,398
524,524,ALERTES_INFO,82,6787
525,525,Kerckhove16,806,869
526,526,Cbellage,113,120
527,527,BaronTinquen,424,183
528,528,aaaan_93,1224,1361
529,529,GaudichaudF,1338,1136
530,530,numomeil,1055,708
531,531,meejinnie,237,228
532,532,PIERREMAURIN,1311,1168
533,533,maghrebiiiia,543,390
534,534,OlivierSchneid,2318,4392
535,535,7b73f39b85e1415,398,593
536,536,Sad_boyy51,75,3
537,537,A_Lin_Coln,390,29
538,538,femeninna,851,41346
539,539,AliciaSunset,500,147
540,540,Savoieball,996,2307
541,541,JoranRi_,93,66
542,542,SsKaou,93,79
543,543,Yahms93,495,719
544,544,BenjaminDeshay1,305,136
545,545,L3l10_,569,289
546,546,ZatiikDiamond,191,42
547,547,turenne1611,5744,1542
548,548,SPioupiou2,680,20
549,549,mohamed_hothia,1554,115
550,550,M13Katia,1118,1894
551,551,YnwJo_,63,73
552,552,emigrantizCCCP,974,897
553,553,Spvrta,608,3911
554,554,shanksrs7,268,359
555,555,amounomalande,8,3048
556,556,CHWEPO,682,124
557,557,HenkThomas2,64,3
558,558,Ethique92350,120,380
559,559,GabrielLapeyre,122,166
560,560,Nomades20,20,38
561,561,rlejoliff,377,386
562,562,Henassee,160,143
563,563,Antipassvaccina,1986,316
564,564,prx_fbr,31,11
565,565,LoicSperoni,563,378
566,566,MonsejourC,126,35
567,567,Thomas_cldn,656,39
568,568,JulienSatch,2391,2743
569,569,drgt9,28,10
570,570,Babeuf26,512,600
571,571,OOuuur,872,398
572,572,YannisAngles1,690,158
573,573,romane_mtl,333,251
574,574,Barto_corazon,149,28
575,575,MrDGM96,158,79
576,576,Chiaroscurus,178,134
577,577,Ndoss__,512,665
578,578,Fayou_27,199,54
579,579,CharlesRassaert,805,688
580,580,RenardAlicia1,140,23
581,581,Dni_ella,166,391
582,582,lydiawaldorff,441,1152
583,583,the_oth7,157,197
584,584,lyoncap,1737,97275
585,585,Vincent_mta,126,46
586,586,KetfiMarwane,50,3
587,587,BarlandMathias,123,15
588,588,chay_mlg,427,547
589,589,HiItsKris,754,90
590,590,gibout_quentin,93,19
591,591,DarkVador_Off,363,27594
592,592,odeuhman,384,739
593,593,LionellaouniA,1162,160
594,594,_fatoumaliba,209,386
595,595,briceculturier,1968,38513
596,596,Sherlock91130,217,58
597,597,TerryLemondel,445,536
598,598,Nikaulla,727,94
599,599,aelbouni,1758,345
600,600,LfbMatthis,113,26
601,601,turenne1611,5744,1542
602,602,ashtnknw,2602,33363
603,603,GillowelRelax,1386,36756
604,604,RidanoB,88,7
605,605,I_Xhalil,4981,3959
606,606,Adidamourrr,660,6776
607,607,JeromeRider,447,401
608,608,FloCastorama,249,519
609,609,flistache,2876,172
610,610,sweetgirl2797,206,51
611,611,GuillaumeDaret,16298,71048
612,612,sociodeter,1440,1406
613,613,Mascort,3001,926
614,614,adagreenreign,303,276
615,615,qdrd_,106,25
616,616,lauruuuux,266,238
617,617,jadedescharmes,359,1190
618,618,Barto_corazon,149,28
619,619,Thomas_bhr_,64,61
620,620,EhMerce_93,400,64
621,621,wannoouu,613,180
622,622,eliweb1,1733,800
623,623,leokh33,151,19
624,624,Acebabyface,590,861
625,625,laMentaleK,108,108
626,626,Gwendal_Raoul,60,54
627,627,Ttchartres28,124,48
628,628,chriss17031,1943,1304
629,629,mnlamd,291,249
630,630,tsxbbs,1475,1082
631,631,Aitoh_Mato,598,634
632,632,NoukMathiot,340,360
633,633,Til1988,4986,748
634,634,Sxnt_,405,392
635,635,Pippaemin,171,1418
636,636,plusbellenyc,1386,1917
637,637,stendhalspace,112,8
638,638,axelsng,155,80
639,639,Kezian14,884,265
640,640,awuni_,191,362
641,641,aymerci_,95,16
642,642,Julien67753394,5007,2392
643,643,dutts67nick,4974,2475
644,644,Chrl48564590,6,0
645,645,L3l10_,569,289
646,646,Miky__93,665,395
647,647,JosephRedpill69,178,69
648,648,PriscaDujardin,510,625
649,649,JorisRepond,625,366
650,650,thudao76,12887,11762
651,651,_iggga,51,57
652,652,evaellegrcn,216,261
653,653,generalklaus1,4609,5827
654,654,yayaajr,274,468
655,655,Merrimennn,227,261
656,656,IspanicoJR,223,109
657,657,934You,99,32
658,658,mls41031,6439,7139
659,659,robin_r_bt,257,76
660,660,meparlepo,236,716
661,661,ABouchaert,2733,1175
662,662,xJordaan37,1296,634
663,663,hin2109,97,20
664,664,BenoitV14,253,275
665,665,PierreM32674493,174,7
666,666,turenne1611,5744,1541
667,667,soldatcorazon,164,69
668,668,nes_sim,1090,1995
669,669,Vaguedet,361,171
670,670,Boussbat2,1548,151
671,671,desillusionism,2954,739
672,672,Greeggouille,948,709
673,673,LPopolov,11,12
674,674,Mr_Lindt,567,2402
675,675,AnnRe0322,2685,1254
676,676,Vall_95,92,27
677,677,Arybocat2,314,176
678,678,JanDabo,341,33
679,679,AlexyLedain,216,37
680,680,IspanicoJR,223,109
681,681,PATTHEBURUNDIAN,1089,1236
682,682,Rulieng,333,1891
683,683,Imane__q,279,139
684,684,Makaya12486506,675,731
685,685,Ch_Albertini_,1446,2170
